"","A.1","A.2","A.3","A.4","B.1","B.2","B.3","B.4","C.1","C.2","C.3","C.4","D.1","D.2","D.3","D.4","E.1","E.2","E.3","E.4","F.1","F.2","F.3","F.4"
"A.1",1,0.875450164245946,0.865121379147591,0.891582989609691,0.810601460236706,0.795677148563668,0.804664263959751,0.819652786857845,0.832616938899976,0.832757542351978,0.845383341888477,0.864720989741992,0.818728779819385,0.799390333270183,0.756722869143766,0.7740025341538,0.744941034739909,0.714756830707245,0.759643004706633,0.687068055739479,0.655303930802204,0.681248829496664,0.717010967453225,0.71231198087528
"A.2",0.875450164245946,1,0.920251897527988,0.858476975696803,0.839178788828704,0.859729348426446,0.843149183677708,0.873114072418003,0.802216905231803,0.825142569204416,0.830661897681315,0.854741081266082,0.825629305194126,0.786742380526418,0.728799906130062,0.755524832311877,0.740111655890869,0.687615032868449,0.76673503098254,0.679998429162853,0.632530334243465,0.651761104596212,0.708102178037165,0.711587616095377
"A.3",0.865121379147591,0.920251897527988,1,0.888103456946608,0.891895167219863,0.86505141964686,0.899725976496567,0.871863221326855,0.855400639805582,0.86502096817476,0.850488278584688,0.870902977197191,0.864381306526336,0.847684975331479,0.817115825102211,0.831929567706135,0.795130621384132,0.743618715943225,0.786689895456447,0.701947442960834,0.690818407917213,0.717817583000949,0.757570723699907,0.766865440697683
"A.4",0.891582989609691,0.858476975696803,0.888103456946608,1,0.868251408195916,0.846369077426787,0.863769484733183,0.856265241540747,0.862081525801305,0.845822423272713,0.839336739497918,0.852714149194785,0.859982738949756,0.851285588382788,0.816884106159442,0.8221121129226,0.74683615610566,0.717123889332901,0.749030283445476,0.670530573227435,0.640025772731397,0.674477490476962,0.708640701487231,0.722148759731545
"B.1",0.810601460236706,0.839178788828704,0.891895167219863,0.868251408195916,1,0.922453387961735,0.958068906976814,0.936297760796259,0.81035287621956,0.814262341043927,0.78897703165118,0.810219460058029,0.895227332901392,0.891068936344317,0.87380662573671,0.870469156617791,0.791620738940545,0.745439419070209,0.750879719375425,0.684529546766311,0.711006356624066,0.746789842454117,0.779479725887978,0.800652737958642
"B.2",0.795677148563668,0.859729348426446,0.86505141964686,0.846369077426787,0.922453387961735,1,0.925206468788527,0.934443737287487,0.773563110740594,0.792614724618066,0.792732659581828,0.798037432811429,0.881632263070227,0.855049282838728,0.807635247300178,0.821883454420835,0.734406636913554,0.691572376372791,0.736720767316166,0.651303489253339,0.635483367919792,0.668710011317565,0.721397932999974,0.730525205062256
"B.3",0.804664263959751,0.843149183677708,0.899725976496567,0.863769484733183,0.958068906976814,0.925206468788527,1,0.917158156707424,0.815278462456365,0.825165366364562,0.794550848920855,0.825378782829791,0.907192293312712,0.907089985672312,0.88837470942675,0.899409642828008,0.781220802633111,0.736362473849733,0.745258204594291,0.675143570622031,0.715767623870978,0.748268579187891,0.781889653741285,0.821876176239376
"B.4",0.819652786857845,0.873114072418003,0.871863221326855,0.856265241540747,0.936297760796259,0.934443737287487,0.917158156707424,1,0.78364850512126,0.79069190435177,0.791502760903376,0.799281750211482,0.873588843320312,0.854085319231891,0.818356934058689,0.812527217223063,0.755699292105858,0.704860916194637,0.757068887060031,0.681427667932969,0.65962994206271,0.692431497804056,0.74556253582857,0.743665237168245
"C.1",0.832616938899976,0.802216905231803,0.855400639805582,0.862081525801305,0.81035287621956,0.773563110740594,0.815278462456365,0.78364850512126,1,0.901953750520212,0.879960238027582,0.890450072976048,0.874247566370817,0.856858297795404,0.822973647713219,0.847572026725527,0.746165098207858,0.713937928835665,0.73129825819165,0.673527598955014,0.632884257173232,0.666297248852273,0.689951083069323,0.705483382671456
"C.2",0.832757542351978,0.825142569204416,0.86502096817476,0.845822423272713,0.814262341043927,0.792614724618066,0.825165366364562,0.79069190435177,0.901953750520212,1,0.921101935971005,0.930737612253396,0.891512138195909,0.865872670291264,0.827418133656567,0.860685705742794,0.707588185638426,0.680518192549721,0.693973913290371,0.625015391016326,0.596456631875903,0.636673597960041,0.663582969832581,0.689748100450107
